YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER
111,18,001,001,09,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,10,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,11,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,12,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,13,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,17,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,18,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,19,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,20,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,001,21,18001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,09,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,10,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,11,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,12,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,13,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,17,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,18,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,19,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,20,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,002,21,18001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,09,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,10,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,11,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,12,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,13,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,17,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,18,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,19,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,20,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,003,21,18001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,09,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,10,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,11,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,12,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,13,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,17,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,18,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,19,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,20,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,004,21,18001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,09,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,10,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,11,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,12,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,13,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,17,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,18,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,19,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,20,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,005,21,18001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,09,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,10,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,11,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,12,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,13,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,17,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,18,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,19,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,20,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,006,21,18001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,09,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,10,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,11,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,12,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,13,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,17,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,18,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,19,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,20,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,007,21,18001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,09,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,10,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,11,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,12,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,13,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,17,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,18,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,19,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,20,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,008,21,18001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,09,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,10,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,11,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,12,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,13,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,17,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,18,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,19,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,20,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,009,21,18001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,09,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,10,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,11,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,12,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,13,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,17,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,18,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,19,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,20,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,010,21,18001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,09,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,10,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,11,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,12,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,13,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,17,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,18,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,19,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,20,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,011,21,18001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,09,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,10,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,11,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,12,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,13,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,17,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,18,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,19,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,20,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,012,21,18001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,09,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,10,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,11,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,12,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,13,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,17,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,18,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,19,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,20,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,013,21,18001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,09,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,10,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,11,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,12,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,13,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,17,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,18,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,19,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,20,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,014,21,18001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,09,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,10,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,11,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,12,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,13,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,17,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,18,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,19,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,20,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,015,21,18001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,09,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,10,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,11,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,12,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,13,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,17,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,18,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,19,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,20,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,016,21,18001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,09,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,10,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,11,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,12,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,13,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,17,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,18,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,19,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,20,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,017,21,18001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,09,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,10,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,11,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,12,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,13,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,17,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,18,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,19,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,20,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,018,21,18001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,09,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,10,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,11,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,12,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,13,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,17,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,18,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,19,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,20,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,019,21,18001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,09,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,10,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,11,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,12,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,13,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,17,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,18,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,19,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,20,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,020,21,18001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,09,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,10,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,11,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,12,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,13,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,17,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,18,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,19,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,20,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,021,21,18001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,022,09,18001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,022,10,18001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,022,11,18001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,022,12,18001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,001,022,13,18001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
